General-TCP-binding-motif	TCP
General-TPB-like-binding-motif	TPB-like
General-Trihelix-binding-motif	Trihelix
general-WRKY-motif	WRKY
General-YABBY-binding-motif	YABBY
GIF	GIF
GNAT	GNAT
HRT-like	HRT-like
IWS1	IWS1
LIM-binding-motif	LIM
LIM	LIM
LSD	LSD
LUG	LUG
MBF1	MBF1
MED6	MED6
MED7	MED7
mTERF	mTERF
M-type	M-type
MYB-binding-motif-2	MYB-2
NF-X1	NF-X1
NF-YC	NF-YC
Nin-like	Nin-like
NZZ	NZZ
OFP	OFP
Orphans	Orphans
PHD-binding-motif	PHD
RB	RB
Rcd1-like	Rcd1-like
SAP	SAP
Sigma70-like	Sigma70-like
SNF2	SNF2
SOH1	SOH1
STAT	STAT
SWI_SNF	SWI_SNF
TAZ	TAZ
TLP	TLP
TRAF	TRAF
TRF-like	TRF-like
TRF-like-binding-motif	TRF-like
ULT	ULT
unk-aux	unk-aux
ZF-HD-binding-motif	ZF-HD
